Alloy,Structure,delta,H_mix,Reference,H
TiVCrZrHf,Amor,8.95,-6.08,[16],2.321928095
TiVCrAlZr,Amor,7.77,-16.16,[17],2.321928095
TiCrZrNb,Amor,8.14,4.94,[18],2.321928095
AlCrNiSiTi,Amor,5.87,-43,[19],2.321928095
AlCrMoTaTiZr,Amor,6.62,-15.67,[20],2.321928095
TiVCrAlSi,Amor,4.77,-39.2,[21],2.321928095
AlCrTaTiZr,Amor,7.09,-16.16,[22],2.321928095
NbSiTaTiZr,Amor,5.876,-41.15,[23],2.321928095
AlCoCrCu0.5FeNi,Amor,5.02,-7.93,[24],2.55034071
AlCrMoSiTi,Amor,4.76,-34.08,[25],2.321928095
AlBCrSiTi,Amor,14.01,-43.52,[26],2.321928095
FeCoNiZrCuAlV,Amor,4.74,-9.8,[27],2.321928095
AlCrZrSiTi,Amor,4.63,-49.44,[28],2.321928095
TiZrNbHfTa,FCC,4.1,3.36,[29],2.321928095
Al0.5CoCrCuFeNi,FCC,3.82,-1.52,[19],2.55034071
Al2CoCrCuFeNi,FCC+BCC,5.7,-8.65,[19],2.521640636
Ta-Nb-Ti-W,BCC,1.61,-2.53,[30],2
Ta-Nb-Ti-W,BCC,1.72,-3,[30],2
Ta-Nb-Ti-W,BCC,1.79,-3.07,[30],2
Ta-Nb-Ti-W,BCC,1.81,-3.09,[30],2
Ta-Nb-Ti-W,BCC,1.74,-4.66,[30],2
Ta-Nb-Ti-W,BCC,1.68,-5.41,[30],2
Ta-Nb-Ti-W,BCC,1.61,-5.95,[30],2
FeCoNiCrCuAlMn,FCC+BCC,4.51,-5.63,[31],2.807354922
CoCrFeNiCu,FCC,1.07,3.2,[32],2.321928095
CoCrFeNiCuAl2.5,BCC,5.91,-9.28,[33],2.466247897